question,answer
"Game này chơi như thế nào?","Người chơi cần chọn đúng hình có màu sắc và hình dạng theo yêu cầu."
"Làm sao để bắt đầu chơi?","Nhấn nút bắt đầu để tạo một phiên chơi mới."
"Một phiên có bao nhiêu câu?","Mỗi phiên chơi gồm 15 câu."
"Mục tiêu của game là gì?","Mục tiêu là chọn đúng hình theo yêu cầu của từng câu."
"Điểm màu là gì?","Điểm màu đánh giá khả năng nhận biết màu sắc của người chơi."
"Điểm hình là gì?","Điểm hình đánh giá khả năng nhận biết hình dạng."
"Timeout nghĩa là gì?","Timeout là khi hết thời gian trả lời."
"Hết giờ có bị trừ điểm không?","Không bị trừ điểm nhưng sẽ không được cộng điểm."
"Sai màu nhưng đúng hình thì sao?","Người chơi vẫn được cộng điểm hình."
"Sai hình nhưng đúng màu thì sao?","Người chơi vẫn được cộng điểm màu."
"Sai cả màu và hình thì sao?","Người chơi sẽ không được cộng điểm."
"EPIC mode là gì?","Đây là chế độ thử thách đặc biệt ở 5 câu cuối."
"Làm sao để mở EPIC?","Cần trả lời đúng liên tiếp 10 câu đầu."
"EPIC có gì đặc biệt?","EPIC có thêm hình và màu mới cùng điểm thưởng cao."
"EPIC có bao nhiêu giây?","Mỗi câu trong EPIC có thời gian cố định 2 giây."
"Trong EPIC có màu gì mới?","Có purple, pink, brown và orange."
"Trong EPIC có hình gì mới?","Có trapezoid, rhombus, parallelogram và ellipse."
"objectCount là gì?","Đó là số lượng hình xuất hiện trên màn hình."
"Game tăng độ khó như thế nào?","Game tăng số lượng hình và giảm thời gian trả lời."
"Khi nào game giảm độ khó?","Khi người chơi sai nhiều câu liên tiếp."
"Adaptive difficulty là gì?","Đó là cơ chế tự điều chỉnh độ khó theo năng lực người chơi."
"Avg time là gì?","Đó là thời gian phản xạ trung bình của các câu đúng."
"Màu mạnh nghĩa là gì?","Đó là màu mà người chơi thường chọn đúng."
"Màu yếu nghĩa là gì?","Đó là màu mà người chơi thường chọn sai."
"Hình mạnh là gì?","Đó là hình người chơi thường nhận diện đúng."
"Hình yếu là gì?","Đó là hình người chơi thường nhận diện sai."
"Analytics hoạt động thế nào?","Analytics thống kê số lần đúng và sai của từng màu và hình."
"Score analytics được tính sao?","Điểm bằng số lần đúng trừ số lần sai."
"Game có giúp luyện phản xạ không?","Có, game giúp cải thiện tốc độ phản xạ."
"Game phù hợp độ tuổi nào?","Game phù hợp cho trẻ khoảng 4 đến 7 tuổi."
"Game giúp trẻ học gì?","Game giúp nhận biết màu sắc, hình học và phản xạ."
"Vì sao game khó hơn sau vài câu?","Vì hệ thống adaptive difficulty tự tăng độ khó."
"Streak là gì?","Đó là số câu đúng liên tiếp."
"Đúng liên tiếp có lợi gì?","Giúp tăng độ khó và mở cơ hội vào EPIC."
"Timeout có tính vào màu yếu không?","Không, timeout không tính vào màu yếu."
"Game có AI không?","Game đầu tiên chủ yếu dùng logic adaptive."
"Game có hỗ trợ điện thoại không?","Có thể chơi trên điện thoại và tablet."
"Game có cần internet không?","Có thể cần internet nếu chơi online."
"Game có lưu dữ liệu không?","Có thể lưu dữ liệu trong phiên chơi."
"Game có âm thanh không?","Có thể mở rộng thêm âm thanh trong tương lai."
"Game có leaderboard không?","Phiên bản hiện tại chưa có leaderboard."
"Game có nhiều level không?","Độ khó thay đổi động theo quá trình chơi."
"Game có thể pause không?","Điều này tùy thuộc phiên bản triển khai."
"Vì sao em toàn sai màu?","Có thể người chơi chưa quen nhận biết màu sắc."
"Vì sao em toàn sai hình?","Có thể người chơi cần luyện thêm về hình học."
"Làm sao đạt điểm cao?","Cần phản xạ nhanh và chọn chính xác."
"Game có hỗ trợ giáo viên không?","Có thể dùng báo cáo để theo dõi học tập."
"Game có hỗ trợ phụ huynh không?","Có, phụ huynh có thể xem báo cáo cuối game."
"Điểm tối đa là bao nhiêu?","Điểm tối đa cho màu và hình đều là 100."
"EPIC có khó hơn bình thường không?","Có, EPIC nhanh và phức tạp hơn."
"Vì sao EPIC chỉ mở khi đúng 10 câu?","Để tạo thử thách và động lực cho người chơi."
"AI nhận diện số bằng cách nào?","AI dùng TensorFlow.js để phân tích nét vẽ."
"TensorFlow.js là gì?","Đó là thư viện AI chạy trên trình duyệt."
"Game viết số hoạt động như thế nào?","Người chơi viết số lên canvas để AI nhận diện."
"Confidence là gì?","Đó là độ tin cậy của AI khi dự đoán."
"AI có thể đoán sai không?","Có, AI có thể nhầm nếu nét vẽ chưa rõ."
"Điểm trong game viết số tính sao?","Nếu AI đoán đúng thì điểm bằng confidence chia cho 10."
"Khi nào được 0 điểm?","Khi AI đoán sai số mục tiêu."
"Nét đứt dùng để làm gì?","Giúp trẻ hình dung cách viết số."
"Có thể viết lại không?","Có thể nhấn nút xóa để viết lại."
"AI dùng model gì?","AI dùng model TensorFlow.js local."
"AI load từ đâu?","AI được tải từ file model.json."
"group1-shard1of1.bin là gì?","Đó là file chứa trọng số của model AI."
"AI đã sẵn sàng nghĩa là gì?","Model đã tải xong và có thể hoạt động."
"Vì sao AI load chậm?","Vì cần tải model AI vào bộ nhớ."
"AI có dùng MNIST không?","Quá trình xử lý ảnh tương thích chuẩn MNIST."
"Resize 28x28 nghĩa là gì?","Ảnh được thu nhỏ về kích thước 28x28 pixel."
"Grayscale là gì?","Là chuyển ảnh sang thang màu xám."
"Chuẩn hóa dữ liệu là gì?","Là chuyển giá trị ảnh về khoảng từ 0 đến 1."
"Tensor đầu vào là gì?","Là dữ liệu AI dùng để dự đoán."
"AI có học theo người chơi không?","Model hiện tại không tự học thêm."
"AI có phân biệt số 6 và 9 không?","Có nhưng đôi khi vẫn có thể nhầm."
"Vì sao AI nhầm số 1 và 7?","Do nét viết có thể giống nhau."
"AI có nhận diện số nghiêng không?","Có thể nhưng độ chính xác sẽ thay đổi."
"AI có nhận diện nét mờ không?","Nét quá mờ có thể làm AI đoán sai."
